구분,계,국내,국외
2009,2439,1314,1125
2010,2475,1462,1013
2011,2464,1548,916
2012,1880,1125,755
2013,922,686,236
2014,1172,637,535
2015,1057,683,374
2016,880,546,334
2017,863,465,398
2018,681,378,303
2019,704,387,317
2020,492,260,232
2021,415,226,189
2022,324,182,142
