year,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990
gdp,3958824424,2417638423,2814626210,3988476879,3459032883,3120870871,3929018943,4855833210,6119284294,7678720155,9005023184,9903499928,10862327878,13876531432,19544094741,21784297521,29902479339,38446487603,51972107438,66946900826,65398646758,72933350954,78358866335,87760360941,97510235986,101296177100,116836802995,147948259723,199590823957,246927292765,283367525715
number of children given up for overseas adoption,638,665,254,442,462,451,494,626,949,1190,1932,2725,3490,4688,5302,5077,6597,6159,5917,4148,4144,4628,6434,7263,7924,8837,8680,7947,6463,4191,2962
